Rechtbanken;building.columns.fill;;;
Rechtbank Amsterdam;Parnassusweg 280;1076 AV;Amsterdam;36,3
Rechtbank Den Haag;Prins Clauslaan 60;2595 AJ;Den Haag;59,9
Rechtbank Gelderland Arnhem;Walburgstraat 2-4;6811 CD;Arnhem;68
Rechtbank Gelderland Zutphen ;Martinetsingel 2;7201 DT;Zutphen;100
Rechtbank Limburg Maastricht ;Sint Annadal 1;6214 PA;Maastricht;180
Rechtbank Limburg Roermond;Willem II Singel 67;6041 HR;Roermond;142
Rechtbank Midden-Nederland Lelystad ;Stationsplein 15;8232 DL;Lelystad;64,6
Rechtbank Midden-Nederland Utrecht;Vrouwe Justitiaplein 1;3511 EX;Utrecht;2,7
Rechtbank Midden-Nederland Almere;De Diagonaal;1315 XK;Almere;45
Rechtbank Noord-Holland Alkmaar;Kruseman van Eltenweg 2;1817 BC;Alkmaar;79,3
Rechtbank Noord-Holland Schiphol;Duizendbladweg 100;1171 VA;Badhoevedorp;43
Rechtbank Noord-Holland Haarlem;Simon de Vrieshof 1;2019 HA;Haarlem;53,7
Rechtbank Noord-Nederland Groningen ;Guyotplein 1;9712 NX;Groningen;190
Rechtbank Noord-Nederland Leeuwarden  ;Zaailand 102;8911 BN;Leeuwarden;164
Rechtbank Noord-Nederland Assen;Brinkstraat 4;9401 HZ;Assen;177
Rechtbank Oost-Brabant Den Bosch;Leeghwaterlaan 8;5223 BA;'s-Hertogenbosch;54,9
Rechtbank Oost-Brabant Eindhoven;Stadhuisplein 4;5611 EM;Eindhoven;91,1
Rechtbank Overijssel Zwolle;Schuurmanstraat 2;8011 KP;Zwolle;103
Rechtbank Overijssel Almelo;Egbert Gorterstraat 5;7607 GB;Almelo;139
Rechtbank Rotterdam;Wilhelminaplein 100-125;3072 AK;Rotterdam;58,9
Rechtbank Rotterdam Dordrecht ;Steegoversloot 36;3311 PP;Dordrecht;60
Rechtbank Zeeland-West-Brabant Breda ;Stationslaan 10;4815 GW;Breda;71,4
Rechtbank Zeeland-West-Brabant Middelburg ;Kousteensedijk 2;4331 JE;Middelburg;173
Gerechtshoven;building.columns.fill;;;
Gerechtshof Amsterdam;IJdok 20;1013 MM;Amsterdam;44,6
Gerechtshof Arnhem-Leeuwarden Arnhem;Walburgstraat 2-4;6811 CD;Arnhem;68
Gerechtshof Arnhem-Leeuwarden Zwolle;Schuurmanstraat 2;8011 KP;Zwolle;103
Gerechtshof Arnhem-Leeuwarden Leeuwarden;Wilhelminaplein 1;8911 BS;Leeuwarden;164
Gerechtshof Den Haag;Prins Clauslaan 60;2595 AJ;Den Haag;59,9
Gerechtshof 's-Hertogenbosch;Leeghwaterlaan 8;5223 BA;'s-Hertogenbosch;54,9
Kantongerechten;building.columns.fill;;;
Rechtbank Midden-Nederland Amersfoort ;Stationsstraat 81;3811 MH;Amersfoort;35,7
Rechtbank Gelderland Apeldoorn;Stationsstraat 104;7311 MJ;Apeldoorn;80,6
Rechtbank Gelderland Nijmegen;Oranjesingel 56;6511 NW;Nijmegen;86
Rechtbank Overijssel Enschede ;Molenstraat 23;7514 DJ;Enschede;152
Rechtbank Zeeland-West-Brabant Tilburg  ;Piusplein 50;5038 WN;Tilburg;80,6
Rechtbank Zeeland-West-Brabant Bergen op Zoom  ;Zuid-Oostsingel 41;4611 BC;Bergen op Zoom;114
